AL_Type;AR_No;CustID;Layanan;CreatedOn
Relokasi;AR/RLK/1908/0701;40000348;IPVPN;05/08/2019 15.55
New;AR/ACT/1907/21687;40000348;IPVPN;18/07/2019 16.02
Relokasi;AR/RLK/1906/0525;40000348;IPVPN;14/06/2019 10.00
Downgrade;AR/DOW/1909/0415;60000740;InternetCorporate;05/09/2019 10.37
Downgrade;AR/DOW/1909/0413;120000125;InternetCorporate;03/09/2019 10.37
New;AR/ACT/1901/3388;140000424;InternetCorporate;31/01/2019 09.47
New;AR/ACT/1901/3387;140000424;InternetCorporate;31/01/2019 09.47
New;AR/ACT/1901/3386;140000424;InternetCorporate;31/01/2019 09.47
New;AR/ACT/1901/3385;140000424;InternetCorporate;31/01/2019 09.46
New;AR/ACT/1901/3384;140000424;InternetCorporate;31/01/2019 09.46
New;AR/ACT/1901/3383;140000424;InternetCorporate;31/01/2019 09.46
New;AR/ACT/1901/3382;140000424;InternetCorporate;31/01/2019 09.46
New;AR/ACT/1901/3381;140000424;InternetCorporate;31/01/2019 09.46
New;AR/ACT/1901/3379;140000424;InternetCorporate;31/01/2019 09.46
New;AR/ACT/1901/3378;140000424;InternetCorporate;31/01/2019 09.46
New;AR/ACT/1901/3377;140000424;InternetCorporate;31/01/2019 09.45
New;AR/ACT/1901/3376;140000424;InternetCorporate;31/01/2019 09.45
New;AR/ACT/1901/3375;140000424;InternetCorporate;31/01/2019 09.45
New;AR/ACT/1901/3373;140000424;InternetCorporate;31/01/2019 09.43
New;AR/ACT/1901/3372;140000424;InternetCorporate;31/01/2019 09.43
New;AR/ACT/1901/3371;140000424;InternetCorporate;31/01/2019 09.43
New;AR/ACT/1901/3370;140000424;InternetCorporate;31/01/2019 09.43
New;AR/ACT/1901/3368;140000424;InternetCorporate;31/01/2019 09.42
New;AR/ACT/1901/3367;140000424;InternetCorporate;31/01/2019 09.42
New;AR/ACT/1901/3366;140000424;InternetCorporate;31/01/2019 09.42
New;AR/ACT/1901/3365;140000424;InternetCorporate;31/01/2019 09.42
New;AR/ACT/1901/3364;140000424;InternetCorporate;31/01/2019 09.41
Upgrade;AR/CHT/1909/5092;140000424;InternetCorporate;24/09/2019 12.28
Upgrade;AR/CHT/1909/5093;140000424;InternetCorporate;24/09/2019 12.48
Upgrade;AR/CHT/1909/5096;140000424;InternetCorporate;24/09/2019 13.03
Downgrade;AR/CHT/1909/5100;180000201;ManageServicePCBasic;24/09/2019 13.27
Upgrade;AR/CHT/1909/5115;140000424;InternetCorporate;24/09/2019 14.23
Upgrade;AR/CHT/1909/5123;140000424;InternetCorporate;24/09/2019 14.32
Upgrade;AR/CHT/1909/5128;140000424;InternetCorporate;24/09/2019 14.43
Upgrade;AR/CHT/1909/5144;140000424;InternetCorporate;24/09/2019 15.04
Downgrade;AR/CHT/1909/5155;180000201;ManageServicePCBasic;24/09/2019 15.17
New;AR/CHT/1909/5158;180000201;ManageServicePCBasic;24/09/2019 15.26
Downgrade;AR/CHT/1909/5167;180000201;ManageServicePCBasic;24/09/2019 15.33
Upgrade;AR/CHT/1909/5181;140000424;InternetCorporate;24/09/2019 15.58
Upgrade;AR/CHT/1909/5192;140000424;InternetCorporate;24/09/2019 16.12
Upgrade;AR/CHT/1909/5212;140000424;InternetCorporate;24/09/2019 16.22
Upgrade;AR/CHT/1909/5205;140000424;InternetCorporate;24/09/2019 16.19
Upgrade;AR/CHT/1909/5193;140000424;InternetCorporate;24/09/2019 16.13
Upgrade;AR/CHT/1909/5213;140000424;InternetCorporate;24/09/2019 16.22
Upgrade;AR/CHT/1909/5211;140000424;InternetCorporate;24/09/2019 16.21
Upgrade;AR/CHT/1909/5203;140000424;InternetCorporate;24/09/2019 16.19
Relokasi;AR/RLK/1905/0492;50000796;IPVPN;20/05/2019 13.40
Upgrade;AR/CHT/1909/5200;140000424;InternetCorporate;24/09/2019 16.17
Relokasi;AR/RLK/1907/0601;50000796;InternetCorporate;10/07/2019 11.44
Upgrade;AR/CHT/1909/5199;140000424;InternetCorporate;24/09/2019 16.17
Upgrade;AR/CHT/1909/5197;140000424;InternetCorporate;24/09/2019 16.16
Upgrade;AR/CHT/1909/5210;140000424;InternetCorporate;24/09/2019 16.21
New;AR/ACT/1902/5516;50000796;InternetCorporate;20/02/2019 15.49
Upgrade;AR/CHT/1909/5195;140000424;InternetCorporate;24/09/2019 16.15
New;AR/ACT/1902/5517;50000796;InternetCorporate;20/02/2019 15.50
Upgrade;AR/CHT/1909/5206;140000424;InternetCorporate;24/09/2019 16.20
Upgrade;AR/CHT/1909/5194;140000424;InternetCorporate;24/09/2019 16.14
New;AR/ACT/1902/4740;140001412;i-WINIndoor;14/02/2019 11.40
New;AR/ACT/1902/4741;140001412;i-WINIndoor;14/02/2019 11.41
New;AR/ACT/1902/4742;140001412;i-WINIndoor;14/02/2019 11.42
New;AR/ACT/1902/4743;140001412;i-WINIndoor;14/02/2019 11.43
New;AR/ACT/1902/4744;140001412;i-WINIndoor;14/02/2019 11.44
New;AR/ACT/1902/4745;140001412;i-WINIndoor;14/02/2019 11.45
New;AR/ACT/1902/4746;140001412;i-WINIndoor;14/02/2019 11.46
New;AR/ACT/1902/4747;140001412;i-WINIndoor;14/02/2019 11.46
New;AR/ACT/1902/4748;140001412;i-WINIndoor;14/02/2019 11.47
New;AR/ACT/1902/4749;140001412;i-WINIndoor;14/02/2019 11.48
New;AR/ACT/1902/4754;140001412;i-WINIndoor;14/02/2019 12.56
New;AR/ACT/1902/4755;140001412;i-WINIndoor;14/02/2019 12.57
New;AR/ACT/1902/4756;140001412;i-WINIndoor;14/02/2019 12.58
New;AR/ACT/1902/4758;140001412;i-WINIndoor;14/02/2019 12.59
New;AR/ACT/1902/4760;140001412;i-WINIndoor;14/02/2019 13.00
New;AR/ACT/1902/4761;140001412;i-WINIndoor;14/02/2019 13.01
New;AR/ACT/1907/23905;140001714;Bronze;30/07/2019 10.01
New;AR/ACT/1907/23904;140001714;i-WINOutdoor;30/07/2019 09.59
New;AR/ACT/1907/23902;140001714;InternetCorporate;30/07/2019 09.57
Relokasi;AR/RLK/1907/0665;140001714;i-WINOutdoor;30/07/2019 08.28
Relokasi;AR/RLK/1907/0663;140001714;i-WINOutdoor;30/07/2019 08.20
Trial;AR/TRL/1910/1230;ICON-00;InternetCorporate;16/10/2019 09.46
New;AR/ACT/1907/23764;90000464;InternetCorporate;29/07/2019 16.14
New;AR/ACT/1908/25502;90000464;PenambahanIPv4Publik;07/08/2019 10.31
New;AR/ACT/1908/29954;60001549;Metronet;28/08/2019 15.24
Upgrade;AR/UPG/1908/2593;90000216;InternetCorporate;12/08/2019 10.46
Upgrade on Demand;AR/UOD/1909/0130;40000348;IPVPN;17/09/2019 08.46
Upgrade on Demand;AR/UOD/1909/0131;40000348;IPVPN;17/09/2019 08.50
Upgrade on Demand;AR/UOD/1909/0132;40000348;IPVPN;17/09/2019 08.51
New;AR/ACT/1902/4684;140000424;i-WINIndoor;14/02/2019 09.47
Upgrade;AR/UPG/1901/0939;140000424;InternetCorporate;31/01/2019 14.33
New;AR/ACT/1902/4685;140000424;i-WINIndoor;14/02/2019 09.48
Upgrade;AR/UPG/1901/0942;140000424;InternetCorporate;31/01/2019 14.39
New;AR/ACT/1902/4686;140000424;i-WINIndoor;14/02/2019 09.49
Upgrade;AR/UPG/1901/0941;140000424;InternetCorporate;31/01/2019 14.35
New;AR/ACT/1902/4687;140000424;i-WINIndoor;14/02/2019 09.50
Upgrade;AR/UPG/1901/0937;140000424;InternetCorporate;31/01/2019 14.30
New;AR/ACT/1902/4689;140000424;i-WINIndoor;14/02/2019 09.55
Upgrade;AR/UPG/1901/0950;140000424;InternetCorporate;31/01/2019 14.59
New;AR/ACT/1902/4690;140000424;i-WINIndoor;14/02/2019 09.56
Upgrade;AR/UPG/1901/0951;140000424;InternetCorporate;31/01/2019 15.00
Downgrade;AR/DOW/1903/0152;140000424;InternetCorporate;08/03/2019 16.09
New;AR/ACT/1902/4691;140000424;i-WINIndoor;14/02/2019 09.56
New;AR/ACT/1902/4693;140000424;i-WINIndoor;14/02/2019 09.59
Upgrade;AR/UPG/1901/0945;140000424;InternetCorporate;31/01/2019 14.44
New;AR/ACT/1902/4694;140000424;i-WINIndoor;14/02/2019 10.00
Upgrade;AR/UPG/1901/0946;140000424;InternetCorporate;31/01/2019 14.45
New;AR/ACT/1902/4695;140000424;i-WINIndoor;14/02/2019 10.00
Upgrade;AR/UPG/1901/0936;140000424;InternetCorporate;31/01/2019 14.29
Upgrade;AR/UPG/1903/1267;140000424;InternetCorporate;08/03/2019 16.03
New;AR/ACT/1902/4700;140000424;i-WINIndoor;14/02/2019 10.03
New;AR/ACT/1902/4704;140000424;i-WINIndoor;14/02/2019 10.05
